,2024-07-01~2024-09-30,2023-07-01~2023-09-30,2024-01-01~2024-09-30,2023-01-01~2023-09-30
RevenueFromContractWithCustomerExcludingAssessedTax,25182000000,23350000000,71983000000,71606000000
CostOfRevenue,20185000000,19172000000,58712000000,58384000000
GrossProfit,4997000000,4178000000,13271000000,13222000000
ResearchAndDevelopmentExpense,1039000000,1161000000,3264000000,2875000000
SellingGeneralAndAdministrativeExpense,1186000000,1253000000,3837000000,3520000000
RestructuringAndOtherExpenses,55000000,0,677000000,0
OperatingExpenses,2280000000,2414000000,7778000000,6395000000
OperatingIncomeLoss,2717000000,1764000000,5493000000,6827000000
InvestmentIncomeInterest,429000000,282000000,1127000000,733000000
InterestExpenseNonoperating,92000000,38000000,254000000,95000000
OtherNonoperatingIncomeExpense,-270000000,37000000,-142000000,317000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2784000000,2045000000,6224000000,7782000000
IncomeTaxExpenseBenefit,601000000,167000000,1403000000,751000000
ProfitLoss,2183000000,1878000000,4821000000,7031000000
NetIncomeLossAttributableToNoncontrollingInterest,16000000,25000000,47000000,-38000000
NetIncomeLoss,2167000000,1853000000,4774000000,7069000000
EarningsPerShareBasic,0.68,0.58,1.51,2.23
EarningsPerShareDiluted,0.62,0.53,1.38,2.03
WeightedAverageNumberOfSharesOutstandingBasic,3198000000,3176000000,3192000000,3171000000
WeightedAverageNumberOfDilutedSharesOutstanding,3497000000,3493000000,3489000000,3481000000
