concept,segment,2024-04-01→2024-06-30,2024-01-01→2024-06-30,2025-04-01→2025-06-30,2025-01-01→2025-06-30
CostOfRevenue,Consolidated,20922000000.0,38527000000.0,18618000000.0,34800000000.0
CostOfRevenue,srt:ProductOrServiceAxis=tsla:AutomotiveLeasingMember,245000000.0,514000000.0,228000000.0,467000000.0
CostOfRevenue,srt:ProductOrServiceAxis=tsla:AutomotiveRevenuesMember,16207000000.0,30373000000.0,13795000000.0,25495000000.0
CostOfRevenue,srt:ProductOrServiceAxis=tsla:AutomotiveSalesMember,15962000000.0,29859000000.0,13567000000.0,25028000000.0
CostOfRevenue,srt:ProductOrServiceAxis=tsla:EnergyGenerationAndStorageMember,2274000000.0,3506000000.0,1943000000.0,3888000000.0
CostOfRevenue,srt:ProductOrServiceAxis=tsla:ServicesAndOtherMember,2441000000.0,4648000000.0,2880000000.0,5417000000.0
CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis=tsla:AutomotiveSegmentMember,18648000000.0,35021000000.0,16675000000.0,30912000000.0
CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis=tsla:EnergyGenerationAndStorageSegmentMember,2274000000.0,3506000000.0,1943000000.0,3888000000.0
GrossProfit,Consolidated,4578000000.0,8274000000.0,3878000000.0,7031000000.0
GrossProfit,us-gaap:StatementBusinessSegmentsAxis=tsla:AutomotiveSegmentMember,3838000000.0,7131000000.0,3032000000.0,5400000000.0
GrossProfit,us-gaap:StatementBusinessSegmentsAxis=tsla:EnergyGenerationAndStorageSegmentMember,740000000.0,1143000000.0,846000000.0,1631000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Consolidated,1787000000.0,3675000000.0,1549000000.0,2138000000.0
IncomeTaxExpenseBenefit,Consolidated,371000000.0,854000000.0,359000000.0,528000000.0
IncomeTaxExpenseBenefit,srt:RestatementAxis=srt:RestatementAdjustmentMember,-22000000.0,52000000.0,,
IncomeTaxExpenseBenefit,srt:RestatementAxis=srt:ScenarioPreviouslyReportedMember,393000000.0,802000000.0,,
InterestExpenseNonoperating,Consolidated,86000000.0,162000000.0,86000000.0,177000000.0
InvestmentIncomeInterest,Consolidated,348000000.0,698000000.0,392000000.0,792000000.0
NetIncomeLoss,Consolidated,1400000000.0,2790000000.0,1172000000.0,1581000000.0
NetIncomeLoss,srt:RestatementAxis=srt:RestatementAdjustmentMember,-78000000.0,183000000.0,,
NetIncomeLoss,srt:RestatementAxis=srt:ScenarioPreviouslyReportedMember,1478000000.0,2607000000.0,,
NetIncomeLossAttributableToNoncontrollingInterest,Consolidated,16000000.0,31000000.0,18000000.0,29000000.0
OperatingExpenses,Consolidated,2973000000.0,5498000000.0,2955000000.0,5709000000.0
OperatingIncomeLoss,Consolidated,1605000000.0,2776000000.0,923000000.0,1322000000.0
OtherNonoperatingIncomeExpense,Consolidated,-80000000.0,363000000.0,320000000.0,201000000.0
OtherNonoperatingIncomeExpense,srt:RestatementAxis=srt:RestatementAdjustmentMember,-100000000.0,235000000.0,,
OtherNonoperatingIncomeExpense,srt:RestatementAxis=srt:ScenarioPreviouslyReportedMember,20000000.0,128000000.0,,
ProfitLoss,Consolidated,1416000000.0,2821000000.0,1190000000.0,1610000000.0
ResearchAndDevelopmentExpense,Consolidated,1074000000.0,2225000000.0,1589000000.0,2998000000.0
RestructuringAndOtherExpenses,Consolidated,622000000.0,622000000.0,0.0,94000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,Consolidated,25500000000.0,46801000000.0,22496000000.0,41831000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:AutomotiveLeasingMember,458000000.0,934000000.0,435000000.0,882000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:AutomotiveRegulatoryCreditsMember,890000000.0,1332000000.0,439000000.0,1034000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:AutomotiveRevenuesMember,19878000000.0,37256000000.0,16661000000.0,30628000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:AutomotiveSalesMember,18530000000.0,34990000000.0,15787000000.0,28712000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:EnergyGenerationAndStorageLeasingMember,148000000.0,261000000.0,143000000.0,252000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:EnergyGenerationAndStorageMember,3014000000.0,4649000000.0,2789000000.0,5519000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:EnergyGenerationAndStorageSalesMember,2866000000.0,4388000000.0,2646000000.0,5267000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:SalesAndServicesMember,24894000000.0,45606000000.0,21918000000.0,40697000000.0
RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis=tsla:ServicesAndOtherMember,2608000000.0,4896000000.0,3046000000.0,5684000000.0
SellingGeneralAndAdministrativeExpense,Consolidated,1277000000.0,2651000000.0,1366000000.0,2617000000.0
